,Years,Model,Proxy,Diff
1,100,1.112009708,0.120740392,0.991269316
2,200,0.83441245,0.102694578,0.731717872
3,300,0.735500484,0.005737206,0.729763278
4,400,0.765262605,-0.084818369,0.850080974
5,500,0.738053095,0.01298215,0.725070945
6,600,0.753441857,-0.046757632,0.800199489
7,700,0.689817023,0.016294397,0.673522625
8,800,0.736143294,-0.020329598,0.756472892
9,900,0.718666201,0.039258955,0.679407246
10,1000,0.683698888,0.045852702,0.637846186
11,1100,0.663456446,0.030606148,0.632850298
12,1200,0.64568237,0.045211756,0.600470614
13,1300,0.65016844,-0.030056438,0.680224878
14,1400,0.585401594,-0.009001039,0.594402632
15,1500,0.607071253,-0.040624709,0.647695962
16,1600,0.672334185,-0.018496125,0.690830309
17,1700,0.661077254,-0.036392592,0.697469846
18,1800,0.691562276,-0.014655033,0.70621731
19,1900,0.674672159,-0.00667534,0.6813475
20,2000,0.650784438,0.056121384,0.594663054
21,2100,0.6355339,0.023013222,0.612520678
22,2200,0.605153684,0.074860933,0.530292751
23,2300,0.654477748,0.067810632,0.586667116
24,2400,0.681522606,0.125758506,0.5557641
25,2500,0.604380861,0.123095556,0.481285305
26,2600,0.607600298,0.018604423,0.588995875
27,2700,0.618898979,-0.042180246,0.661079225
28,2800,0.592373245,0.013998307,0.578374938
29,2900,0.625580614,0.042897529,0.582683085
30,3000,0.673466396,0.03075801,0.642708387
31,3100,0.681788231,0.062888651,0.61889958
32,3200,0.615430496,0.082625736,0.532804759
33,3300,0.621291717,0.146968591,0.474323126
34,3400,0.602205336,0.160476903,0.441728433
35,3500,0.622983695,0.110636681,0.512347014
36,3600,0.616243837,0.189611752,0.426632084
37,3700,0.606998854,0.217473964,0.38952489
38,3800,0.627163399,0.244838737,0.382324662
39,3900,0.59751376,0.235494249,0.36201951
40,4000,0.632874926,0.258822674,0.374052253
41,4100,0.575895315,0.268598014,0.307297302
42,4200,0.59074269,0.199231462,0.391511227
43,4300,0.563395184,0.262836426,0.300558758
44,4400,0.60492395,0.222542412,0.382381538
45,4500,0.598189335,0.295547511,0.302641824
46,4600,0.675431358,0.253842481,0.421588877
47,4700,0.698391266,0.269173264,0.429218002
48,4800,0.67663617,0.2784376,0.39819857
49,4900,0.649510919,0.264812069,0.38469885
50,5000,0.626662764,0.335148099,0.291514665
51,5100,0.541167811,0.293997471,0.24717034
52,5200,0.482010343,0.28962784,0.192382503
53,5300,0.510618299,0.203620637,0.306997662
54,5400,0.496135902,0.168125602,0.328010299
55,5500,0.484258381,0.257594147,0.226664235
56,5600,0.51124699,0.328200231,0.183046759
57,5700,0.513531012,0.327674216,0.185856795
58,5800,0.495407149,0.314853683,0.180553466
59,5900,0.531092022,0.258610052,0.27248197
60,6000,0.53566997,0.276558733,0.259111237
61,6100,0.491993715,0.250726127,0.241267589
62,6200,0.433488238,0.241186848,0.19230139
63,6300,0.420644322,0.273426793,0.14721753
64,6400,0.458605966,0.280252844,0.178353122
65,6500,0.459773555,0.261788336,0.197985219
66,6600,0.475601941,0.298098061,0.17750388
67,6700,0.50048874,0.329790549,0.17069819
68,6800,0.474845977,0.321497441,0.153348536
69,6900,0.416124688,0.319464283,0.096660404
70,7000,0.402472536,0.217845443,0.184627093
71,7100,0.397288051,0.154757354,0.242530697
72,7200,0.434353582,0.208943421,0.225410161
73,7300,0.399781597,0.239337939,0.160443658
74,7400,0.361683981,0.247427573,0.114256408
75,7500,0.390291219,0.300685725,0.089605495
76,7600,0.367660528,0.243992259,0.123668269
77,7700,0.386202966,0.285947425,0.100255541
78,7800,0.318238037,0.315152195,0.003085842
79,7900,0.333386562,0.311096194,0.022290368
80,8000,0.293424296,0.324053624,-0.030629328
81,8100,0.19581933,0.244119669,-0.048300338
82,8200,0.186722366,0.239594853,-0.052872487
83,8300,0.187699142,0.253953687,-0.066254545
84,8400,0.195351506,0.361171843,-0.165820337
85,8500,0.207060206,0.33992257,-0.132862363
86,8600,0.167137015,0.31653066,-0.149393645
87,8700,0.212093896,0.284816542,-0.072722645
88,8800,0.208492599,0.297980043,-0.089487444
89,8900,0.190121198,0.325130204,-0.135009006
90,9000,0.26530659,0.364799085,-0.099492495
91,9100,0.197448328,0.370998108,-0.17354978
92,9200,0.263584218,0.283652305,-0.020068088
93,9300,0.229718416,0.301848757,-0.072130341
94,9400,0.22731032,0.358058815,-0.130748495
95,9500,0.233664392,0.293568724,-0.059904332
96,9600,0.198472421,0.247855885,-0.049383463
97,9700,0.139559112,0.22514639,-0.085587278
98,9800,0.187599172,0.233092788,-0.045493616
99,9900,0.172930531,0.162048002,0.010882529
100,10000,0.138436199,0.16879154,-0.030355341
101,10100,0.163026794,0.130644119,0.032382675
102,10200,0.121983907,0.094519747,0.02746416
103,10300,0.015848537,0.081868753,-0.066020216
104,10400,0.004840314,0.048814303,-0.043973989
105,10500,0.036413314,0.034677304,0.001736011
