,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
1,100,0.680290707,-3.675437072,9.778283965,-0.216242185,-0.508829071,1.15917687,NA,0.377085718,NA,NA,-0.375018231,2.03505355,3.204439364,1.155274991,NA,NA,0.636408558,NA,1.72907021,0.846331474,0.253305904
2,200,0.866353993,-2.740667953,9.558876356,0.258497826,0.991738745,0.614580227,0.881779224,0.416112649,NA,NA,-0.712755805,2.088183088,2.241885853,1.129788254,0.267032749,NA,0.262777824,NA,0.580746045,0.635892522,0.010461603
3,300,0.919344247,-2.599809441,9.501641514,0.468344432,1.128476758,1.002678629,0.954809106,0.70679386,NA,NA,-0.729582288,2.128330465,2.01060434,1.122767917,0.220604272,NA,0.51869609,NA,-0.117978761,0.435604357,-0.196430065
4,400,0.955914241,-3.112768524,9.507035578,0.677883454,1.218583648,0.694959731,1.162443764,1.215655801,3.517134861,NA,-0.391873069,1.552509073,1.88607689,1.027343822,0.289036276,NA,-0.086173799,NA,0.569330837,0.663854935,0.743314148
5,500,0.786921295,-2.795716001,9.553018916,0.482518999,0.869436622,1.170001148,1.436949772,1.427219557,3.728096443,NA,0.155530398,2.616601272,1.939963311,1.119792919,0.158905794,NA,0.563755029,NA,-0.940092894,0.238970895,0.772553261
6,600,0.54721135,-2.299038956,4.533659558,1.975928849,1.168951129,0.846386628,1.234699936,0.993514582,3.763246025,NA,-0.248767135,2.199883916,1.958843057,0.973443422,0.321039552,NA,0.252311936,NA,-0.500566174,0.259496288,0.592920226
7,700,0.479066275,-1.977403989,4.290238758,1.052825634,0.816107679,0.595311923,0.90038183,0.570916097,3.652161607,NA,-0.519497682,2.517728062,1.925662763,0.658213017,0.497254524,1.288663769,0.118582706,NA,-0.230920814,-0.346654369,0.467556592
8,800,0.391869906,-1.776268471,4.249450848,1.703554852,0.867122691,0.485739868,0.939284618,0.611422526,3.740376951,NA,-0.003927066,1.8248218,1.948521479,0.754327048,0.654786385,1.107564865,0.06535705,NA,-0.530952395,-0.419969078,0.593781644
9,900,0.483885996,-1.982895965,4.179973622,1.12954806,0.680055649,0.467219065,0.873590462,0.71132498,3.787971533,NA,0.349160151,2.090918267,1.733065152,0.757109645,0.884290231,0.861438326,0.19082788,NA,-0.844604123,-0.258468978,0.55653781
10,1000,0.633339367,-3.884884572,4.246562938,0.875410443,1.038603634,0.553785592,0.912950093,0.818281632,3.923857115,NA,0.218567607,2.065579769,1.478431914,0.636011639,1.100984344,0.795890326,0.411313566,NA,-0.044919581,-0.501697526,0.580451799
11,1100,0.760562878,-2.142231941,4.23192392,0.801611707,1.030058708,0.64649924,0.749305644,0.584478651,3.928762697,NA,0.203320743,1.932420688,1.573463169,0.684632738,1.418815787,0.806301326,0.362270464,NA,-0.289021046,-0.79647489,0.586090375
12,1200,0.557954262,-3.602765429,4.179264078,-0.085871028,0.808477364,0.626473865,0.793884978,0.915274839,4.021833279,NA,0.378003658,1.844391213,1.863764014,0.828834808,1.63206039,0.827671326,0.248884854,1.939515218,-0.45160574,-0.422987387,0.529004787
13,1300,0.368884568,-3.163468953,3.774010571,0.60078073,1.019097694,0.512694473,0.900697195,0.997972756,3.998621861,NA,0.621466289,2.021889724,1.973825864,1.688236598,1.61256443,0.706055673,0.272359604,1.901743278,0.201392166,0.145893611,0.57496709
14,1400,0.485192278,-3.471253024,3.79028617,1.541877896,0.715965651,0.475871897,0.600692662,0.960080762,4.049481142,0.937759416,0.663408031,1.758272075,1.574769084,1.919728368,1.38264547,0.690689308,0.567562868,1.914036337,-0.141891877,-0.578512612,0.374002396
15,1500,0.607840067,-2.536363477,3.894137431,1.635170869,1.037766386,0.73775022,0.48698366,0.73110184,4.047947184,0.950846318,0.5685234,1.94508285,1.40041158,1.914520842,1.149336622,0.597125942,0.472823086,1.842174896,-0.486842379,-0.628383802,0.341587605
16,1600,0.69900029,-1.385278525,4.134654409,1.298539792,0.985931522,0.807122679,0.742884814,1.786452813,4.203166464,0.907496524,0.432357081,2.480703524,1.556317638,1.803011851,0.877152815,0.420564577,0.648212565,1.854222956,0.100218569,-0.11351117,0.3879574
17,1700,0.592488351,-2.297518524,4.255580745,2.343254449,0.735995539,0.776436282,0.662723594,1.369834336,4.167958745,0.876580731,0.311550311,2.338055498,1.606251304,1.527125996,0.623832495,0.411710737,0.54946436,1.852238015,0.284545783,0.091378752,0.391267754
18,1800,0.562015606,-2.023064977,4.322532862,1.559904094,1.096891202,0.679476345,0.748286124,1.746737932,4.234218025,0.879351967,0.242525295,2.321233789,1.621298101,1.114327382,0.599430239,0.512990914,0.675611701,1.846418457,0.205601461,-0.026735995,0.387061645
19,1900,0.269359908,-3.914528953,4.234636147,1.961837292,1.204681379,0.950456162,0.509566219,1.284994846,4.199195067,0.813168174,0.061838364,2.19247631,1.614076726,1.323592208,0.420334457,0.569744031,0.479202172,1.859850025,0.031907797,0.050829118,0.255938024
20,2000,1.338435585,-3.108490429,3.998266485,1.439859847,0.861883273,0.404695814,0.485351669,0.91558083,4.071890348,0.761398173,-0.119034417,2.381194094,1.456769817,1.492278574,0.384282455,0.508211208,0.390332105,1.831835213,-0.660462498,-1.127783571,0.199604267
