"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"1",1,18.0518,57.609,"117_723A","117_723A.Godad.2011.lpd",-806,"Indian Ocean>Arabian Sea","Indian Ocean>Arabian Sea","Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",2011,"Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season","Marine Micropaleontology","MarineSediment",950,19130,NA,NA,10,"10.1594/PANGAEA.775098,10.1594/PANGAEA.695217"
"2",2,68.9925,-106.5735,"2005-804-006","2005-804-006.Ledu.2010.lpd",-118,"Arctic Ocean","Arctic Ocean","Ledu, David; Rochon, Andr̩; de Vernal, Anne; Barletta, Francesco; St-Onge, Guillaume",2010,"Holocene sea ice history and climate variability along the main axis of the Northwest Passage, Canadian Arctic","Paleoceanography","MarineSediment",1023.6,7730.8,"dinocyst",41,7,"www.ncdc.noaa.gov/paleo/study/15444"
"3",3,67.05,-50.47,"Lake 31","31Lake.Eisner.1995.lpd",115,"Atlantic Ocean>North Atlantic Ocean>Davis Strait","Atlantic Ocean>North Atlantic Ocean>Davis Strait","Eisner, Wendy R.; Țrnqvist, Torbj̦rn E.; Koster, Eduard A.; Bennike, Ole; van Leeuwen, Jacqueline F.N.",1995,"Paleoecological studies of a Holocene lacustrine record from the Kangerlussuaq (S  ndre Str  mfjord) region of west Greenland","Quaternary Research","LakeSediment",667,5769,"pollen",32,7,"this compilation"
"4",4,49.9833,-121.2167,"3M Pond","3MPond.Pellatt.2000.lpd",1950,"North America>Canada>British Columbia","North America>Canada>British Columbia","Pellatt, Marlow G.; Smith, Michael J.; Mathewes, Rolf W.; Walker, Ian R.; Palmer, Samantha L.",2000,"Holocene treeline and climate change in the subalpine zone near Stoyoma Mountain, Cascade Mountains, southwestern British Columbia, Canada","Arctic, Antarctic, and Alpine Research","LakeSediment",-275,11810,"chironomid",34,8,"this compilation"
"5",5,33.96,-119.98,"Abalone","Abalone.Cole.1994.lpd",0,"North America>United States Of America>California","North America>United States Of America>California","Cole, Kenneth L.; Liu, Geng-Wu",1994,"Holocene paleoecology of an estuary on Santa Rosa Island, California","Quaternary Research","LakeSediment",-40,6113.9,"pollen",32,9,"this compilation"
"6",6,-40.9333,172.5333,"Adelaide Tarn","AdelaideTarn.Jara.2015.lpd",1250,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Jara, Ignacio A.; Newnham, Rewi M.; Vanderfoes, Marcus J.; Foster, Courtney R.; Lowe, David J.; Wilmshurst, Janet M.; Moreno, Patricio I.; Renwick, James A.; Homes, Aline M.",2015,"Pollen-climate reconstruction from northern South Island, New Zealand (41°S), reveals varying high- and low-latitude teleconnections over the last 16 000 years","Journal of Quaternary Science","LakeSediment",-15.3,15666.5,"pollen",109,7,"this compilation"
"7",7,46.6814,7.9775,"Agassiz","Agassiz.Lecavalier.2017.lpd",1935,"North America>Canada>Nunavut","North America>Canada>Nunavut","Lecavalier, Benoit S.; Fisher, David A.; Milne, Glenn A.; Vinther, Bo M.; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Brittany; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur S.",2017,"High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution","Proceedings of the National Academy of Sciences","GlacierIce",16,11366,"melt layer",455,NA,"10.1594/PANGAEA.904113"
"8",8,55.83,13.42,"Ageroeds Mosse","AgeroedsMosse.Nilsson.1964.lpd",58,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Nilsson, T.",1964,"Standard pollen diagramme und C14 datiengen aus dem Ageroeds mosse in mittleren schonen","Lunds Universitets Arsskrift N.F. 2","Peat",18.65,9098.8,"pollen",135,6,"this compilation"
"9",9,-46.42,169.28,"Ajax Bog","AjaxBog.Wilmshurst.2007.lpd",680,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP","Journal of Quaternary Science","Peat",784.667,14212,"pollen",49,10,"this compilation"
"10",10,67.97,20.48,"Alanen Laanijarvi","AlanenLaanijarvi.Heinrichs.2005.lpd",365,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Heinrichs, Markus L.; Peglar, Sylvia M.; Bigler, Christian; Birks, H. John B.",2008,"A multi-proxy palaeoecological study of Alanen Laanij _rvi, a boreal-forest lake in Swedish Lapland","Boreas","LakeSediment",-45,8565.18,"chironomid",29,10,"this compilation"
