"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"1",1,68.37,19.12,"Lake 850","850Lake.Shemesh.2001.lpd",850,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Shemesh, Aldo; Rosqvist, Gunhild; Rietti-Shati, Miri; Rubensdotter, Lena; Bigler, Christian; Yam, Ruth; KarlÌ©n, WibjÌ¦rn",2001,"Holocene climatic change in Swedish Lapland inferred from an oxygen-isotope record of lacustrine biogenic silica","The Holocene","LakeSediment",-50,9474.873,"chironomid",125,NA,"www.ncdc.noaa.gov/paleo/study/15444"
"2",2,64.65,-128.08,"Andy","Andy.Szeicz.1995.lpd",1360,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",0,13192,"pollen",57,15,"www.ncdc.noaa.gov/paleo/study/15444"
"3",3,60.58,24.8,"Arapisto","Arapisto.Sarmaja-Korjonen.2007.lpd",133,"Europe>Northern Europe>Scandinavia>Finland","Europe>Northern Europe>Scandinavia>Finland","Sarmaja-Korjonen, Kaarina; Sepp _, Heikki",2007,"Abrupt and consistent responses of aquatic and terrestrial ecosystems to the 8200 cal. yr cold event: A lacustrine record from Lake Arapisto, Finland","The Holocene","LakeSediment",0,8888.5,"pollen",82,15,"www.ncdc.noaa.gov/paleo/study/15444"
"4",4,68.5333,17.2667,"Austerkjosen","Austerkjosen.Seppa.2009.lpd",135,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",19.45,8838.87,"pollen",31,15,"www.ncdc.noaa.gov/paleo/study/15444"
"5",5,66.8911,-18.9744,"B997_321","B997_321.Castaneda.2004.lpd",-480,"Arctic Ocean","Arctic Ocean","Castaneda, Isla S.; Smith, L. Micaela; Kristj  nsd _ttir, GrÌ©ta BjÌ¦rk; Andrews, John T.",2004,"Temporal changes in Holocene   18O records from the northwest and central North Iceland Shelf","Journal of Quaternary Science","MarineSediment",386,7854,"d18O",31,5,"www.ncdc.noaa.gov/paleo/study/6423"
"6",6,66.5239,-21.1522,"B997_324","B997_324.Castaneda.2004.lpd",-282,"Arctic Ocean","Arctic Ocean","Castaneda, Isla S.; Smith, L. Micaela; Kristj  nsd _ttir, GrÌ©ta BjÌ¦rk; Andrews, John T.",2004,"Temporal changes in Holocene   18O records from the northwest and central North Iceland Shelf","Journal of Quaternary Science","MarineSediment",73,12056,"d18O",42,5,"www.ncdc.noaa.gov/paleo/study/6423"
"7",7,66.6414,-20.8631,"B997_327","B997_327.Castaneda.2004.lpd",-373,"Arctic Ocean","Arctic Ocean","Castaneda, Isla S.; Smith, L. Micaela; Kristj  nsd _ttir, GrÌ©ta BjÌ¦rk; Andrews, John T.",2004,"Temporal changes in Holocene   18O records from the northwest and central North Iceland Shelf","Journal of Quaternary Science","MarineSediment",394,4287,"d18O",62,5,"www.ncdc.noaa.gov/paleo/study/6423"
"8",8,75.18,-111.92,"BC01","BC01Lake.Peros.2010.lpd",216,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Peros, Matthew; Gajewski, Konrad; Paull, Tara; Ravindra, Rebecca; Podritske, Brandi",2010,"Multi-proxy record of postglacial environmental change, south-central Melville Island, Northwest Territories, Canada","Quaternary Research","LakeSediment",-66,12943,NA,NA,6,"this compilation"
"9",9,-7.3667,115.25,"BJ8_03_10GGC","BJ8_03_10GGC.Linsley.2010.lpd",-649,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Linsley, Braddock K.; Rosenthal, Yair; Oppo, Delia W.",2010,"Holocene evolution of the Indonesian throughflow and the western Pacific warm pool","Nature Geoscience","MarineSediment",275,12025,"d18O",60,5,"www.ncdc.noaa.gov/paleo/study/10420"
"10",10,-3.5667,119.3833,"BJ8_03_70GGC","BJ8_03_70GGC.Linsley.2010.lpd",-482,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Linsley, Braddock K.; Rosenthal, Yair; Oppo, Delia W.",2010,"Holocene evolution of the Indonesian throughflow and the western Pacific warm pool","Nature Geoscience","MarineSediment",107,14300,"Mg/Ca",101,5,"www.ncdc.noaa.gov/paleo/study/10420"
