"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal"
"1",1,36.2054,-4.3127,"161_976","161_976.Martrat.2014.lpd",-1108,"Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",2014,"Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region","Quaternary Science Reviews"
"2",2,10.7061,-65.1694,"165_1002C","165_1002C.Herbert.2000.lpd",-892.6,"Atlantic Ocean>North Atlantic Ocean>Caribbean Sea","Atlantic Ocean>North Atlantic Ocean>Caribbean Sea","Herbert, T.D., Schuffert, J.D.",2000,"Alkenone unsaturation estimates of sea-surface tempreatures at site 1002 over a full glacial cycle","Proceedings of the Ocean Drilling Program, Scientific Results"
"3",3,34.2875,-120.036,"893A","893A.Kennet.2007.lpd",-588,"Pacific Ocean>North Pacific Ocean","Pacific Ocean>North Pacific Ocean","Kennett, Douglas J.; Kennett, James P.; Erlandson, Jon M.; Cannariato, Kevin G.",2007,"Human responses to Middle Holocene climate change on California's Channel Islands","Quaternary Science Reviews"
"4",4,27.82,126.9783,"A7","A7.Sun.2005.lpd",-1264,"Pacific Ocean>Western Pacific Ocean>East China Sea","Pacific Ocean>Western Pacific Ocean>East China Sea","Sun, Youbin; Oppo, Delia W.; Xiang, Rong; Liu, Weiguo; Gao, Shu",2005,"Last deglaciation in the Okinawa Trough: Subtropical northwest Pacific link to Northern Hemisphere and tropical climate","Paleoceanography"
"5",5,65.02,-127.48,"Bells Lake","BellsLake.Szeicz.1995.lpd",580,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology"
"6",6,-7.4,115.2,"BJ8_03_13GGC","BJ8_03_13GGC.Linsley.2010.lpd",-594,"Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas","Linsley, Braddock K.; Rosenthal, Yair; Oppo, Delia W.",2010,"Holocene evolution of the Indonesian throughflow and the western Pacific warm pool","Nature Geoscience"
"7",7,38.6345,-9.4542,"D13882","D13882.Tierney.lpd",-88,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean",NA,NA,NA,NA
"8",8,58.25,8,"Dalene","Dalene.Seppa.2009.lpd",40,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past"
"9",9,57.8724,-137.1045,"EW0408_66JC","EW0408_66JC.Praetorius.2015.lpd",-426,"Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,"North Pacific deglacial hypoxic events linked to abrupt ocean warming","Nature"
"10",10,59.5554,-144.1535,"EW0408_85JC","EW0408_85JC.Praetorius.2015.lpd",-682,"Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Pacific Ocean>North Pacific Ocean>Gulf Of Alaska","Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,"North Pacific deglacial hypoxic events linked to abrupt ocean warming","Nature"
