Years BP,Weighted_Average,Weighted_1-Sigma,Weighted_upper,Weighted_lower
0,0.536087478,0.707078527,1.243166005,-0.170991049
100,0.075360538,1.551710361,1.619154109,-1.375650205
200,0.071781147,1.296367757,1.369342431,-1.124937795
300,0.004023706,1.274180315,1.279200853,-1.180312394
400,-0.060318608,1.252763908,1.188117866,-1.230408381
500,0.009336043,1.303055696,1.312285165,-1.216580367
600,-0.0331584,1.376290743,1.349309826,-1.345913818
700,0.011253148,1.333047334,1.350878896,-1.26393384
800,-0.014242928,1.223176508,1.215838031,-1.181608683
900,0.027689685,1.183120186,1.214525977,-1.104655881
1000,0.032552775,1.286299661,1.320474898,-1.21035238
1100,0.02185701,1.322163803,1.345653137,-1.255930051
1200,0.032574565,1.309878821,1.342644317,-1.226268755
1300,-0.021546623,1.254671259,1.229126756,-1.22415996
1400,-0.006488561,1.267354802,1.252081908,-1.228539532
1500,-0.029285054,1.24162081,1.201746474,-1.228862809
1600,-0.013333265,1.246732636,1.228208416,-1.21932242
1700,-0.026379376,1.207937572,1.180010803,-1.194441559
1800,-0.010622783,1.175613821,1.164607585,-1.147241149
1900,-0.004870314,1.173494835,1.169186851,-1.142637756
2000,0.040919435,1.153309374,1.192348724,-1.08101568
2100,0.016779487,1.206449459,1.220326497,-1.163101174
2200,0.054582886,1.185375048,1.23189848,-1.100721415
2300,0.049442343,1.208363578,1.244858459,-1.125406827
2400,0.091693516,1.230898633,1.307562127,-1.105481524
2500,0.089751896,1.230792186,1.305889154,-1.111572631
2600,0.013564927,1.15601004,1.159454157,-1.117608878
2700,-0.03075462,1.10232909,1.065482656,-1.109711677
2800,0.010206498,1.029709326,1.035234485,-0.995808956
2900,0.031277608,1.047026303,1.076494045,-0.992603612
3000,0.022426396,1.079775357,1.103113759,-1.035725339
3100,0.045853611,1.092518294,1.138755653,-1.026845308
3200,0.060514759,1.008753136,1.063620672,-0.925441362
3300,0.107639208,0.982422153,1.077924138,-0.84828343
3400,0.117553654,1.019616263,1.12760552,-0.877331314
3500,0.081044349,1.037902036,1.113314059,-0.93535986
3600,0.138895716,1.038897653,1.174270408,-0.879729785
3700,0.159305537,1.04611204,1.200554721,-0.864799618
3800,0.17935097,1.048196031,1.21992687,-0.8455322
3900,0.172505881,1.113360574,1.275344153,-0.913791435
4000,0.18959458,1.120621287,1.294440479,-0.896729535
4100,0.19675528,1.129003422,1.308454634,-0.90125755
4200,0.145942412,1.288226194,1.421627277,-1.126887318
4300,0.192534762,1.181635784,1.358726877,-0.983426389
4400,0.163760299,1.114990868,1.260381752,-0.954927237
4500,0.21748191,1.072098144,1.262543984,-0.857321063
4600,0.186617012,1.062558842,1.246154347,-0.878431617
4700,0.197887722,1.140087752,1.338778243,-0.925580421
4800,0.20469857,1.165139778,1.367979674,-0.941406717
4900,0.194681508,1.155800668,1.347304227,-0.944508212
5000,0.246390347,1.088160246,1.327331426,-0.823520943
5100,0.216137698,1.02076836,1.229006715,-0.78224407
5200,0.212925283,0.919223738,1.125654239,-0.679182834
5300,0.149695491,0.889548812,1.036782001,-0.711673612
5400,0.123600657,0.95403176,1.078666595,-0.803942505
5500,0.189375119,0.944014883,1.131542649,-0.737323122
5600,0.241282492,1.004275501,1.238569918,-0.752297718
5700,0.240895783,1.01177212,1.235128139,-0.751969192
5800,0.23147053,1.008911713,1.218251179,-0.751635121
5900,0.19012198,1.033183664,1.200982567,-0.81374406
6000,0.203317286,1.028638055,1.214208644,-0.801005582
6100,0.18434888,1.041753303,1.21067274,-0.834804265
6200,0.177335031,1.004966115,1.166731795,-0.805465744
6300,0.201039771,0.977245761,1.166749562,-0.761575489
6400,0.206058694,0.993955383,1.188899486,-0.772780899
6500,0.19248248,0.925076523,1.103110134,-0.710517375
6600,0.219179567,0.930129241,1.128054111,-0.675522612
6700,0.242481784,0.936844317,1.161393433,-0.66696448
6800,0.236384194,0.886054937,1.104748095,-0.625217873
6900,0.235136874,0.871973293,1.084482229,-0.603518345
7000,0.160341857,0.926329614,1.075966477,-0.746811984
7100,0.11390682,0.855370402,0.962855903,-0.725749649
7200,0.153789658,0.814467868,0.959841732,-0.637986936
7300,0.176161086,0.822653741,0.98879368,-0.615129323
7400,0.182115339,0.827196583,0.997674738,-0.61122406
7500,0.221315199,0.866444579,1.079746634,-0.619691409
