latitude,longitude,t0,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000
20.1,117.4,,1.806477707,1.818517181,1.686938234,1.665227707,1.941538896,1.801678756,1.709394374,1.669211224,1.779101334,1.868367518,1.915760883,1.928146702,1.816414858,1.729101334,1.674156279,1.68045498,1.725909525,1.752727707,1.713167268,1.493387048,1.421517516,1.612600319,1.516520811,1.577480183,1.592533533,1.461958477,1.352727707,1.352727707,1.54558485,1.592288147,1.482398037,1.560080648,1.652727707,1.652727707,1.652727707,1.548817093,1.381219327,1.406276094,1.452727707,1.452727707,1.470494205,1.521255626,1.571174309,1.619717999,1.615300807,1.498341742,1.499650784,1.534599052,1.47611952,1.452727707,1.452727707,1.478858361,1.529109617,1.580770035,1.633680088,1.69247926,1.749484464,1.641376356,1.567013422,1.646378501,1.416830271,1.533450599,1.463407319,1.452727707,1.32005444,1.205245693,1.173496938,1.250420015,0.998297328,1.188170745,1.13827684,0.964866436,1.088494131,1.182514941,1.235706431,1.139394374,0.972727707,0.852727707,0.852727707,0.852727707,0.739684229,0.713952197,0.91803383,0.95558485,0.752727707,0.752727707,0.597495149,0.452727707,0.452727707,0.474039183,0.528683991,0.444340611,0.254437109,0.42537728,0.149024004,0.130086198,0.118727707,-0.218893914,0.215227707,-0.028522293,0.263838818,0.122940473,-0.038088619,-0.153765799,-0.425050071,-0.150801704,-0.307272293,-0.37737982,-0.447272293,-0.584527195,-0.74441515,-0.303186271,-0.620956503,-0.747272293,-0.647272293,-0.753655271,-1.019612718,-1.147272293,-0.779205066,-0.820690014,-0.852335584,-0.86252653,-1.073854571,-0.967474313,-1.270504616,-1.047272293,-1.047272293,-0.606594327,-0.809898555,-0.863727989,-0.935151081,-0.769494515,-0.447272293,-0.662423808,-0.747272293,-0.841211687,-0.616892546,-0.77536218,-0.943901506,-0.897777343,-0.847272293,-0.847272293,-0.847272293,-0.843910948,-0.759877335,-0.898383404,-1.076161182,-1.192272293,-1.267272293,-1.342272293,-1.417272293,-1.456281302,-1.471296317,-1.486311332,-1.501326347,-1.516341362,-1.531356377,-1.546371392,-1.547272293,-1.547272293,-1.547272293,-1.547272293,-1.547272293,-1.547272293,-1.555380401,-1.585410431,-1.615440461,-1.645470491,-1.675500521,-1.705530551,-1.735560581,-1.747272293,-1.747272293,-1.747272293,-1.747272293,-1.747272293,-1.747272293,-1.747272293,-1.715605626,-1.682272293,-1.648938959,-1.615605626,-1.582272293,-1.548938959,-1.618522293,-1.693522293,-1.768522293,-1.843522293,-1.790215236,-1.730155176,-1.670095116,-1.678324046,-1.728407518,-1.778490991,-1.828574463,-1.878657935,-1.928741408,-1.947272293,-1.947272293,-1.947272293,-1.947272293,-1.947272293,-1.947272293,-1.947272293,-1.961686707,-1.976701722,-1.991716737,-2.006731752,-2.021746767,-2.036761782,-2.009772293,-1.884772293,-1.759772293,-1.634772293,-1.603557471,-1.791174732,-1.978791993,-2.166409253,-2.354026514,-2.541643775
5.7,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676158817,0.703783127,0.731407436,0.759031745,0.773120143,0.773120143,0.773120143,0.773120143,0.773120143,0.773120143,0.773120143,0.766490309,0.738866,0.71124169,0.683617381,0.673120143,0.673120143,0.673120143,0.673120143,0.645571934,0.618023724,0.590475515,0.583341138,0.610965447,0.638589756,0.666214066,0.673120143,0.673120143,0.673120143,0.673120143,0.673120143,0.673120143,0.673120143,0.645495834,0.590247215,0.534998596,0.479749977,0.460982212,0.447189109,0.433396005,0.419602902,0.405809798,0.392016695,0.378223591,0.373120143,0.373120143,0.373120143,0.372820742,0.342880622,0.312940502,0.283000383,0.273120143,0.273120143,0.273120143,0.273120143,0.273120143,0.273120143,0.231713893,0.153588893,0.075463893,-0.020149088,0.063411405,0.160076665,0.256695022,0.232828881,0.184285192,0.173120143,0.173120143,0.206936568,0.255245747,0.150790046,-0.043384711,-0.072072165,-0.026879857,-0.002725267,0.045583911,-0.010375002,-0.20454976,-0.291302934,-0.322996362,-0.555865364,-0.652483722,-0.726879857,-0.726879857,-0.716929608,-0.667178364,-0.645691738,-0.744879857,-0.826879857,-0.826879857,-0.826879857,-0.826879857,-0.794879857,-0.626879857,-0.626879857,-0.626879857,-0.634342543,-0.684093787,-0.712949509,-0.613447021,-0.526879857,-0.526879857,-0.538879857,-0.603117481,-0.415879857,-0.359553124,-0.626879857,-0.614379857,-0.526879857,-0.397765933,-0.506879857,-0.602829224,-1.109898725,-1.361471052,-1.334379857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,57.3,,,-1.02478779,-0.47478779,0.07521221,-0.12478779,-0.32478779,-0.461151426,-0.597515063,-0.243835409,0.232355067,0.120666755,-0.242969608,-0.115263981,0.503783638,0.747939483,0.429757664,0.146640781,0.003783638,-0.100978266,0.137116972,0.37521221,0.602484937,0.829757664,1.103783638,1.389497924,1.188848574,0.779757664,0.527593162,0.432355067,0.45521221,0.65521221,0.85521221,1.05521221,0.889918092,0.684035739,0.478153386,0.446640781,0.589497924,0.732355067,0.87521221,1.139918092,1.404623975,1.669329857,1.518069353,1.089497924,0.660926496,0.298069353,0.526640781,0.75521221,0.983783638,0.863447504,0.510506328,0.157565151,-0.010502076,0.560926496,1.132355067,1.703783638,1.803417338,1.700853236,1.598289133,1.49572503,1.43521221,1.38521221,1.33521221,1.28521221,1.23521221,1.18521221,1.13521221,1.08521221,0.931622466,0.752135287,0.572648107,0.393160928,0.35271221,0.32771221,0.30271221,0.27771221,0.02771221,-0.24728779,-0.52228779,-0.79728779,-0.478633944,-0.094018559,0.163673748,0.12521221,0.086750671,-0.03678779,-0.19678779,-0.370941636,-0.601710867,-0.832480098,-0.852060517,-0.730848396,-0.609636275,-0.470242336,-0.288424154,-0.106605972,0.07521221,-0.013023084,-0.101258378,-0.189493672,-0.152060517,-0.030848396,0.090363725,0.202484937,0.293394028,0.384303119,0.47521221,0.384303119,0.293394028,0.202484937,0.17521221,0.17521221,0.17521221,0.192603514,0.236081775,0.316516558,0.729560036,1.142603514,1.555646993,1.968690471,2.327386123,2.631733949,2.805646993,2.457820906,2.109994819,1.253473079,0.340429601,0.12521221,0.37521221,0.568069353,0.532355067,0.496640781,0.378660486,0.137281175,-0.104098135,-0.414442963,-0.793753307,-1.173063652,-1.304098135,-1.269615376,-1.235132618,-1.248925721,-1.28340848,-1.317891238,-0.781930647,-0.103359219,0.57521221,0.696424331,0.817636452,0.938848574,1.579757664,2.443394028,2.607355067,2.071640781,1.535926496,1.841878877,2.508545543,3.17521221,2.853783638,2.532355067,2.32521221,2.57521221,2.82521221,3.07521221,2.918069353,2.489497924,2.060926496,1.652989988,1.430767765,1.208545543,0.986323321,0.75021221,0.50021221,0.25021221,0.00021221,-0.436216362,-0.893359219,-1.350502076,-1.647010012,-1.702565568,-1.758121123,-1.813676679,-2.069232235,-2.37478779,-2.680343346,-2.961151426,-3.141454457,-3.308121123,-3.32478779,-3.17478779,-2.932480098,-2.763249329,-3.147864713,-3.040172405,-2.92478779,-2.90183697,-2.787082872,-2.672328774,-2.557574675,-2.442820577,-2.328066479,-2.246099266,-2.45921402,-2.672328774,-2.885443528,-3.098558282,-3.311673036,-3.52478779,-3.541454457,-3.558121123,-3.57478779,-3.591454457,-3.608121123,-3.62478779,-3.428066479,-3.231345167,-3.034623856,-2.837902544,-2.641181233
14.3,57.3,,,0.62146954,0.67146954,0.72146954,0.67146954,0.62146954,0.666924085,0.712378631,0.607183826,0.464326683,0.453287722,0.498742267,0.473850492,0.378612397,0.339651358,0.385105904,0.41194573,0.364326683,0.316707635,0.269088588,0.22146954,0.176014995,0.130560449,0.273850492,0.464326683,0.457833176,0.366924085,0.369088588,0.464326683,0.498612397,0.44146954,0.384326683,0.327183826,0.294998952,0.265587187,0.236175422,0.235755254,0.264326683,0.292898111,0.32146954,0.32146954,0.32146954,0.32146954,0.355755254,0.412898111,0.470040969,0.518612397,0.490040969,0.46146954,0.432898111,0.456763658,0.515587187,0.574410716,0.615755254,0.587183826,0.558612397,0.530040969,0.52146954,0.52146954,0.52146954,0.52146954,0.47146954,0.40896954,0.34646954,0.28396954,0.22146954,0.15896954,0.09646954,0.03396954,0.103520822,0.206084925,0.308649027,0.41121313,0.35396954,0.27896954,0.20396954,0.12896954,0.14396954,0.16896954,0.19396954,0.21896954,0.256084925,0.294546463,0.32146954,0.32146954,0.32146954,0.20946954,0.04946954,-0.055453537,0.059931078,0.175315694,0.185105904,0.124499843,0.063893782,0.02146954,0.02146954,0.02146954,0.02146954,0.02146954,0.02146954,0.02146954,0.003287722,-0.027015308,-0.057318339,-0.069439551,-0.039136521,-0.00883349,0.02146954,-0.069439551,-0.160348642,-0.251257733,-0.236106218,-0.175500157,-0.114894096,-0.113313069,-0.20026959,-0.282878286,-0.326356547,-0.369834808,-0.413313069,-0.45679133,-0.47853046,-0.47853046,-0.47853046,-0.47853046,-0.47853046,-0.517660895,-0.561139156,-0.55353046,-0.511863793,-0.464244746,-0.392816174,-0.321387603,-0.306116667,-0.375082184,-0.444047701,-0.461289081,-0.426806322,-0.392323563,-0.399220115,-0.433702874,-0.468185632,-0.599220115,-0.771633908,-0.944047701,-0.921387603,-0.849959031,-0.77853046,-0.869439551,-0.960348642,-1.051257733,-1.07853046,-1.07853046,-1.149959031,-1.292816174,-1.435673317,-1.47853046,-1.47853046,-1.47853046,-1.47853046,-1.47853046,-1.484086016,-1.511863793,-1.539641571,-1.567419349,-1.561387603,-1.532816174,-1.504244746,-1.484086016,-1.539641571,-1.595197127,-1.650752682,-1.692419349,-1.720197127,-1.747974904,-1.775752682,-1.77853046,-1.77853046,-1.77853046,-1.77853046,-1.77853046,-1.77853046,-1.77853046,-1.756308238,-1.72853046,-1.700752682,-1.660348642,-1.570197127,-1.486863793,-1.47853046,-1.52853046,-1.609299691,-1.670838152,-1.593915075,-1.57853046,-1.655453537,-1.771973083,-1.739186198,-1.706399312,-1.673612427,-1.640825542,-1.608038657,-1.581809149,-1.614596034,-1.647382919,-1.680169804,-1.71295669,-1.745743575,-1.77853046,-1.745197127,-1.711863793,-1.67853046,-1.645197127,-1.611863793,-1.57853046,-1.562137017,-1.545743575,-1.529350132,-1.51295669,-1.496563247
27.8,127,,,,,,,,,,,,0.343140085,0.308929559,-0.064754652,1.37998219,0.252613769,0.486824296,0.554192717,-0.03001781,-1.022123073,0.431034822,-0.144754652,0.378929559,0.098929559,0.538929559,0.872262892,1.098929559,0.545596225,0.238929559,0.178929559,-0.181070441,0.055596225,0.888929559,0.055596225,-0.521070441,-0.841070441,-0.234403775,-0.174403775,-0.661070441,-0.081070441,0.105596225,-0.101070441,-0.574403775,-0.641070441,-0.301070441,-0.014403775,0.108929559,0.068929559,0.035596225,0.138929559,0.378929559,0.078929559,0.178929559,0.678929559,-0.174403775,-0.257737108,0.428929559,-0.017737108,-0.117737108,0.128929559,0.055596225,-0.341070441,-1.061070441,-1.034403775,-0.931070441,-0.751070441,-0.431070441,0.025596225,0.618929559,0.585596225,-0.057737108,-1.311070441,-1.075298084,-0.890667215,-0.862777758,-0.799363124,-0.326151086,0.601268268,1.001856388,0.338441754,-0.525828506,-0.581395645,-0.199281823,-0.636680197,-0.243731732,0.249417364,0.063666401,0.226072416,0.232350611,0.16022826,0.233929559,1.169189299,0.792613769,0.388929559,-0.53001781,-0.367737108,0.209020468,-0.325845216,-0.939178549,-0.62216135,-0.021610982,0.323293195,0.386226856,1.007848478,1.244334964,-0.271252259,-0.751070441,-1.142692063,-0.765070441,-0.222962333,-0.137070441,0.944334964,0.768341323,0.642458971,-1.242835147,0.210106029,-0.181658677,-0.601070441,3.538929559,-2.921070441,0.438929559,2.935596225,1.056929559,2.618341323,2.16204067,-2.309183649,0.300179559,-1.507862894,-1.601070441,-1.227927584,-1.113927584,-1.31764187,-0.177356156,-0.836784727,-0.871070441,2.83983865,-1.701070441,-0.073570441,-1.151070441,1.94240782,-0.841070441,-1.079130143,-1.001070441,1.130429559,0.133544943,0.854384104,-0.835776324,2.545729559,-2.433309247,-2.458570441,-0.844195441,2.450149071,1.679405749,1.453691464,1.630834321,1.425120035,1.341310511,1.318453368,0.807500987,0.972262892,1.619643844,1.308341323,2.082325785,1.225596225,0.93488194,1.481786702,0.736341323,0.755208629,0.611952815,0.037069094,0.633929559,1.019162117,1.136371419,0.095441187,0.165237251,-0.41502393,0.558247741,0.02125514,0.720092349,-0.064326255,0.451343352,-0.305721604,-0.306651837,-0.517737108,0.678929559,-0.048343169,-0.184706805,-0.530372767,-0.821070441,-0.321070441,0.237069094,-0.321070441,-0.548343169,-0.321070441,-0.321070441,-1.184706805,-0.23016135,-0.23016135,0.678929559,-0.321070441,-0.321070441,-0.321070441,-0.821070441,0.635451298,-0.321070441,-0.321070441,0.186392245,-0.815452464,-0.950283924,-0.568261452,-0.321070441,0.173311581,0.678929559,-0.321070441,-0.321070441,0.156707337,0.678929559,-0.040171565,-0.873309247,-0.366014261,-0.321070441
40.9,18.6,,,,,,,,,,,,,,,,,,,,,1.031954781,1.384895957,1.939517806,2.796660663,2.642814509,2.72393339,2.408425369,1.761366545,1.134160663,0.796660663,1.129993996,1.629993996,2.296660663,1.896660663,1.446660663,1.946660663,2.310297027,2.537569754,2.679993996,2.624438441,2.818882885,3.26332733,3.241105107,3.018882885,2.746660663,2.526660663,2.826660663,3.092493996,3.05082733,3.009160663,3.132771774,3.327216219,3.521660663,3.694387936,3.671660663,3.64893339,3.626206118,3.603478845,3.580751572,3.558024299,3.535297027,3.512569754,3.496660663,3.496660663,3.496660663,3.491397505,3.438765926,3.407186979,3.459818558,3.480871189,3.42823961,3.171660663,2.609160663,2.676660663,2.185549552,2.185549552,2.346660663,1.858199125,1.082374949,1.988968355,3.068089234,2.925232092,2.827429894,1.981276048,1.639517806,1.639517806,2.256660663,1.896660663,1.996660663,2.046660663,1.489133781,1.274080018,1.059026254,0.843972491,0.628918728,0.413864964,0.198811201,-0.016242563,-0.231296326,-0.44635009,-0.661403853,-0.876457617,-1.09151138,-1.306565143,-1.521618907,-1.73667267,-1.951726434,-2.166780197,-2.381833961,-3.140839337,-2.953339337,-2.781910766,-2.567625051,-2.353339337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.3,26.7,0.380945946,-1.389054054,-1.209054054,-1.134054054,-1.179054054,-0.449054054,-1.259054054,-1.389054054,-0.314054054,-1.074054054,-0.094054054,0.415945946,-0.154054054,-0.349054054,-0.639054054,-0.614054054,-0.089054054,-0.159054054,-0.259054054,-0.504054054,0.700945946,-0.149054054,-0.689054054,-0.364054054,0.325945946,0.585945946,-0.614054054,0.165945946,-0.119054054,0.000945946,0.410945946,0.055945946,0.400945946,0.205945946,0.495945946,0.290945946,0.245945946,0.695945946,-0.314054054,0.710945946,0.330945946,0.445945946,0.890945946,-0.169054054,0.830945946,0.495945946,0.760945946,1.400945946,0.740945946,1.655945946,0.940945946,0.860945946,0.995945946,1.895945946,0.950945946,1.430945946,1.220945946,1.155945946,1.045945946,0.830945946,1.165945946,1.075945946,1.035945946,1.125945946,1.395945946,1.540945946,1.140945946,1.075945946,1.455945946,1.660945946,1.565945946,1.125945946,1.670945946,1.515945946,1.090945946,1.385945946,1.170945946,1.840945946,2.355945946,2.385945946,2.010945946,0.425945946,0.245945946,1.860945946,2.225945946,1.490945946,1.365945946,1.495945946,1.550945946,1.685945946,0.690945946,1.920945946,2.005945946,1.465945946,1.315945946,1.580945946,1.290945946,1.530945946,0.395945946,1.430945946,1.200945946,0.455945946,0.750945946,0.015945946,0.075945946,-0.459054054,-0.679054054,-1.004054054,-1.504054054,-2.339054054,-2.579054054,-2.749054054,-2.744054054,-2.774054054,-5.214054054,-4.139054054,-4.304054054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.4,115.2,,,-0.540287052,-0.518054867,-1.24853135,-0.514587298,-0.612010805,-0.204058655,-0.588051819,0.020722182,-0.323691238,-0.944485883,-0.292529176,-0.811193374,-0.309223687,-0.899094257,-0.379080016,-0.538951847,-0.202092027,-0.494540048,-0.250823864,-0.661132359,0.008872387,-0.628683379,-0.423130461,-0.455427565,-0.479969568,-0.753348437,0.063808315,-0.126011334,-0.574141377,-0.483061642,-0.558901699,-0.502309388,-0.268552862,-0.056092017,-0.076792538,-0.166604594,-0.068631173,0.017628913,-0.316656801,-0.080591305,-0.12645272,0.333371675,-0.457734163,-0.183073099,-0.258657276,-0.136595102,-0.288163683,-0.465176023,-0.244933973,-0.881661547,-0.466540522,-0.196590356,-0.152913784,-0.223392325,0.353443172,-0.447493839,0.059322395,-0.70997955,0.824339972,-0.879232365,-0.116568747,-0.945330625,0.174835189,-0.584867984,0.205207758,-0.332995272,-0.585070645,-0.543334719,0.190657093,-0.012737994,-1.21984341,0.214343889,0.221041944,0.332606181,-0.316442191,-0.285760512,0.165615127,0.385282476,0.283509026,0.552061391,0.240017417,0.267314206,-0.387203706,0.00796666,-0.090444238,-0.128590851,0.005203664,0.129908886,0.124501811,0.093423765,-0.27808943,0.226079576,0.562496295,-0.196913125,0.004748863,0.024513041,-0.108226993,-0.738625646,-0.698670564,0.093359712,0.078100912,0.09993696,-0.19299434,0.026616707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.6,119.4,,,-0.515142329,-0.929142329,0.051079893,-0.338031218,0.351524337,-0.140108996,0.120009186,-0.282588217,-0.495899905,-0.541354451,-0.323237568,-0.034161937,0.338387082,0.141178017,0.180658536,0.687152043,0.195463731,-0.227263542,-0.04544536,-0.406484321,-0.690465713,-0.093450787,-0.431313947,0.490171202,0.316111796,0.157200905,0.038389024,0.059280113,-0.134779293,0.195121697,0.08225041,0.114230608,0.246309816,0.110468232,-0.129927808,0.023537539,-0.260818897,-0.211115927,0.328686053,-0.204718087,-0.442047091,-0.182920107,0.035333861,-0.107523282,0.226751004,0.398984655,0.367873544,0.286299112,0.139012922,-0.210187374,0.610488301,0.096547168,-0.478025212,0.182711552,0.343596409,0.50640529,0.05938148,-0.324000777,-0.061489847,0.390359679,0.521048147,0.349483139,0.478696622,0.431073887,-0.040998185,0.702833861,0.167119575,0.116209022,0.069222394,0.006442125,0.265578391,0.522515328,0.359173147,0.18365612,0.590632864,0.747668405,0.64456106,0.541453716,0.438346371,0.335239027,0.232131682,0.129024337,0.091354846,0.147852021,0.204349196,0.260846371,0.192004563,0.104433942,0.01686332,-0.05952086,-0.113193177,-0.166865493,-0.22053781,-0.205029335,-0.17113103,-0.137232725,-0.084972838,0.022371795,0.129716428,0.23706106,0.065620382,-0.219690352,-0.505001086,-0.724040635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.4,13.6,,,,,,,,,,-0.738024091,-1.430331783,-2.122639475,-2.309562552,-2.309562552,-2.309562552,-2.309562552,-2.309562552,-2.084466027,-1.659755602,-1.235045178,-0.992639475,-0.761870244,-0.491870244,-0.145716398,0.200437448,0.119668217,-0.111101014,-0.341870244,-0.572639475,-0.803408706,-0.805716398,-0.613408706,-0.421101014,0.171132429,0.788893046,1.136591294,0.98274514,0.828898986,0.675052833,0.521206679,0.411270781,0.55015967,0.689048559,0.736270781,0.782567078,0.809650411,0.832798559,0.855946707,0.879094855,0.890437448,0.890437448,0.890437448,0.890437448,0.81698384,0.430385902,0.043787963,-0.342809975,-0.77713012,-1.31767066,-1.858211201,-1.809562552,-1.531784774,-1.033636626,-0.36234033,0.308955966,0.980252263,1.41265967,1.088585596,0.805252263,0.990437448,1.175622633,1.126548559,1.057104115,0.98765967,0.918215226,1.061255953,1.345953462,1.630650971,1.771049693,1.617042953,1.402975674,1.188908396,1.189823951,1.373873031,2.339517203,3.021935919,2.777287601,2.532639283,2.281848491,1.422952785,0.983688982,1.229087755,0.739978732,0.006033778,-0.727911176,-0.314470528,1.34197119,0.859968698,0.000593698,-0.496059617,-0.104670184,0.286719248,0.678108681,1.069498113,1.326908036,0.97396686,0.621025683,0.268953073,-0.082609427,-0.448538053,-1.005330926,-1.562123799,-2.118916672,-2.675709545,-3.231784774,-3.78734033,-3.586981907,-2.342742276,-1.623188418,-2.477691882,-3.332195347,-4.186698811,-5.041202275,-5.502983605,-5.930615184,-6.358246763,-5.123408706,-4.352805795,-4.082535525,-3.812265255,-3.541994984,-3.291690212,-3.164030637,-3.036371063,-3.009562552,-3.009562552,-3.168711488,-3.530413616,-3.892115744,-4.253817871,-4.615519999,-4.364647298,-3.898545603,-3.544881701,-3.374668935,-3.216583829,-3.450626382,-3.684668935,-3.918711488,-4.152754041,-4.112966807,-3.517222127,-2.921477446,-2.01413108,-1.124153299,-2.583228032,-4.042302766,-4.995276838,-3.923848266,-3.766300141,-4.017747605,-4.551555435,-5.085363264,-5.598530524,-6.096751164,-6.594971805,-6.269562552,-5.962419695,-6.105276838,-6.178601698,-6.249776075,-6.258317,-5.938032303,-5.617747605,-5.370014529,-5.257020179,-5.144025829,-5.031031479,-5.101087976,-5.214082326,-5.327076676,-5.42100323,-5.463376111,-5.505748993,-5.548121874,-5.590494755,-5.632867637,-5.675240518,-5.714929784,-5.743178371,-5.771426959,-5.799675546,-5.805892309,-5.800245782,-5.794599254,-5.788952727,-5.7833062,-5.777659672,-5.772013145,-5.766366618,-5.76072009,-5.755073563,-5.749427035,-5.743780508,-5.738133981,-5.732487453,-5.726840926,-5.721194398,-5.715547871,-5.709901344,-5.842330914,-5.983573851,-6.124816789,-6.198263117,-6.170014529,-6.141765942,-6.113517354,-6.085268767,-6.057020179,-6.028771592,-6.036681196
