Time,South_Atlantic,S_Australia,China,C_Africa,Arabian_sea,W_Africa_coast,Scandinavia,Offshore_oregon,Caribbean,Tropical_E_Pacific,W_S_America,Antarctica,Indonesia,Philippines,Iceland,N_Atlantic,Alaska,Mediterranean,New_Zealand,Japan,Greenland,Global
100,0.294383675,,,,3.164199035,0.308966181,2.264977266,,0.013918825,,,4.181827114,-1.168750778,1.256402589,3.956183921,8.765136413,-0.671044444,-1.573893086,2.837868297,0.075437057,-1.106787096,1.182224153
200,0.815124369,,,,2.316623573,0.107711213,2.326153125,0.108217892,-0.029996512,0.149171803,,4.254342653,0.369248275,0.843271604,2.94381659,8.651743294,-0.613236514,-1.731712478,3.047308383,-0.345203572,-0.006639976,-0.338563596
300,1.017853511,,,,1.99791356,-0.128194288,2.003086295,0.216386274,-0.009403849,0.133581526,,4.21637678,0.578949967,0.935828371,2.098985767,8.579117375,-0.614115463,-1.691806378,3.167085137,-0.160824334,0.041222035,-0.20204637
400,1.469162731,,3.06455791,,1.86704911,0.721073953,2.083891687,0.264112432,-0.090291244,0.15246233,,4.013538137,0.49746632,0.526966732,2.779337349,8.485219137,-0.454402201,-1.651008992,3.753173006,-0.15479685,-0.614705548,0.459908699
500,1.297643976,,3.075942492,,1.81809403,0.7345134,1.878314676,0.24273794,0.036003753,0.003008284,,4.487116337,0.22629808,1.00400856,1.427921284,8.398464225,-0.532849506,-1.245260684,3.472326085,0.111899053,-0.253110525,0.365009577
600,2.837100626,,3.130684074,,1.858490777,0.579488364,1.847008561,0.193855604,-0.006724744,0.221868242,,4.063790606,0.471198944,0.713183466,1.242815855,3.424849412,-0.564004961,-1.661226179,3.259584465,-0.169389543,0.290847021,-0.460236563
700,1.760564628,2.7918705,3.045888656,,1.874908482,0.386625397,1.6683971,0.109159498,-0.195511749,0.397211715,,2.031598657,0.288503923,0.451539487,1.280019007,3.322836895,-0.697573406,-1.746499789,2.543484865,-0.366033548,0.497908488,-0.863942035
800,2.378598345,2.480298596,3.124924,,1.823100699,0.559484116,1.755004094,-0.031309214,-0.154766718,0.553617276,,1.788766728,0.292135043,0.473683331,1.401568027,3.266020459,-0.743964177,-1.263473685,2.879242046,-0.431512528,0.612398506,-1.043911033
900,1.894359287,2.213477057,3.335364582,,1.717539872,0.482925281,1.952598263,-0.04494987,-0.188401521,0.816214022,,2.026609111,0.142187763,0.71209516,1.06109908,3.145363677,-0.703255943,-0.940142241,2.993601036,-0.396516205,0.306332512,-0.702848717
1000,1.75793252,2.402475057,3.186520164,,1.412673134,0.513802937,1.381023255,0.004634511,-0.288131527,1.022469935,,1.743465822,0.444007153,0.897001771,1.443304511,3.15100883,-0.596470131,-1.120341905,3.004471532,-0.490552269,-1.521711596,1.031159327
1100,1.501252734,2.203451057,3.331481746,,1.477310388,0.532551514,1.332693261,0.012334312,-0.237732228,1.302619277,,1.837160866,0.415347655,0.877381669,1.102562097,3.316470262,-0.636582632,-0.91786929,3.170256568,-0.293930857,0.239397536,-0.533328393
1200,0.791887466,2.343655557,3.456521328,,1.811897233,0.461779592,1.232917437,-0.151299355,-0.129980558,1.522978285,2.731943162,1.731619807,0.273675501,0.750683142,0.963234158,3.096600189,-0.545839604,-0.994079179,3.031377352,-0.490220632,-1.391136453,0.900915821
1300,1.571034474,2.216206404,3.41823591,,1.739851083,0.532058562,1.573212745,-0.291771638,0.700068501,1.530715858,2.725346722,1.963417032,0.389088784,0.771254393,0.967225134,2.788810123,-0.501888567,-0.782101689,3.465761908,-0.704191364,-1.148845977,0.444654613
1400,2.360059957,2.323495039,3.236017191,0.920334782,1.468937304,0.264451534,1.129620524,-0.28703417,0.959943971,1.289395565,2.617392581,1.171589758,0.099532979,1.08357549,0.580860307,2.850081753,-0.694738981,-0.629880605,3.154843768,-0.786627461,-1.368573548,0.581946087
1500,2.522661046,2.137874673,3.410671233,0.995895684,1.369008799,0.288393077,1.167207463,-0.384948673,0.876104545,1.080731916,2.57088334,1.296831658,0.494139905,0.846183041,0.447248264,2.93090269,-0.596066543,-0.820414398,3.162935832,-0.441813577,-0.426511501,-0.015302077
1600,2.296118669,2.097749308,3.494120513,1.00908489,1.421617358,0.366262872,1.040347402,-0.415392268,0.742829654,0.775552043,2.7638064,2.585674332,0.375929993,1.15068052,0.954183002,3.035817596,-0.64509067,-0.905398756,3.93586793,-0.419525418,0.280740452,-0.70026587
1700,3.307433809,2.114585468,3.471894794,0.947652097,1.484384524,0.350925892,1.488299154,-0.440017239,0.459697799,0.516764393,2.706096659,2.230600556,0.193311415,0.972917148,1.676856929,3.155588334,-0.498420607,-0.950353269,3.665838066,-0.501669075,-0.619246548,0.117577473
1800,2.438633888,2.042573645,3.585628074,0.931656333,1.55288682,0.365503783,1.428822508,-0.440400709,0.135192385,0.513959137,2.699753401,2.390075347,0.443100101,1.248044323,1.153579779,3.236974262,-0.423554931,-1.087349666,3.544956746,-0.420490553,-0.315138501,-0.105352052
1900,2.776582252,2.061664762,3.607792116,0.84130054,1.504185445,0.202333162,1.357909034,-0.411225114,0.340310711,0.387795092,2.555113969,1.952765118,0.703200034,0.969409877,1.155559642,3.270260139,-0.334725796,-1.234968354,3.061842073,-0.143550355,-2.225652977,2.082102621
